type;temps;posLatLon;posPix;NOcorner;center;nivZoom
mousemove;{"min":0,"sec":0,"mili":325};LatLng(55.88364, -4.296684);Point(147, 2);null;null;null
mousemove;{"min":0,"sec":0,"mili":325};LatLng(55.883496, -4.296684);Point(147, 5);null;null;null
mousemove;{"min":0,"sec":0,"mili":435};LatLng(55.883447, -4.296684);Point(147, 6);null;null;null
mousemove;{"min":0,"sec":0,"mili":435};LatLng(55.883303, -4.29677);Point(146, 9);null;null;null
mousemove;{"min":0,"sec":0,"mili":435};LatLng(55.883159, -4.29677);Point(146, 12);null;null;null
mousemove;{"min":0,"sec":0,"mili":435};LatLng(55.883062, -4.296856);Point(145, 14);null;null;null
mousemove;{"min":0,"sec":0,"mili":435};LatLng(55.882966, -4.296942);Point(144, 16);null;null;null
mousemove;{"min":0,"sec":0,"mili":435};LatLng(55.882822, -4.296942);Point(144, 19);null;null;null
mousemove;{"min":0,"sec":0,"mili":435};LatLng(55.882677, -4.297028);Point(143, 22);null;null;null
mousemove;{"min":0,"sec":0,"mili":435};LatLng(55.882629, -4.297028);Point(143, 23);null;null;null
mousemove;{"min":0,"sec":0,"mili":435};LatLng(55.882485, -4.297028);Point(143, 26);null;null;null
mousemove;{"min":0,"sec":0,"mili":435};LatLng(55.882388, -4.297113);Point(142, 28);null;null;null
mousemove;{"min":0,"sec":0,"mili":435};LatLng(55.882244, -4.297113);Point(142, 31);null;null;null
mousemove;{"min":0,"sec":0,"mili":435};LatLng(55.882099, -4.297199);Point(141, 34);null;null;null
mousemove;{"min":0,"sec":0,"mili":435};LatLng(55.881907, -4.297199);Point(141, 38);null;null;null
mousemove;{"min":0,"sec":0,"mili":543};LatLng(55.881714, -4.297199);Point(141, 42);null;null;null
mousemove;{"min":0,"sec":0,"mili":543};LatLng(55.881618, -4.297199);Point(141, 44);null;null;null
mousemove;{"min":0,"sec":0,"mili":543};LatLng(55.881425, -4.297199);Point(141, 48);null;null;null
mousemove;{"min":0,"sec":0,"mili":543};LatLng(55.881281, -4.297113);Point(142, 51);null;null;null
mousemove;{"min":0,"sec":0,"mili":543};LatLng(55.881137, -4.297028);Point(143, 54);null;null;null
mousemove;{"min":0,"sec":0,"mili":543};LatLng(55.880944, -4.296942);Point(144, 58);null;null;null
mousemove;{"min":0,"sec":0,"mili":543};LatLng(55.8808, -4.29677);Point(146, 61);null;null;null
mousemove;{"min":0,"sec":0,"mili":543};LatLng(55.880607, -4.296598);Point(148, 65);null;null;null
mousemove;{"min":0,"sec":0,"mili":543};LatLng(55.880414, -4.296341);Point(151, 69);null;null;null
mousemove;{"min":0,"sec":0,"mili":543};LatLng(55.880174, -4.295998);Point(155, 74);null;null;null
mousemove;{"min":0,"sec":0,"mili":543};LatLng(55.879933, -4.295654);Point(159, 79);null;null;null
mousemove;{"min":0,"sec":0,"mili":543};LatLng(55.879692, -4.295225);Point(164, 84);null;null;null
mousemove;{"min":0,"sec":0,"mili":543};LatLng(55.879403, -4.29471);Point(170, 90);null;null;null
mousemove;{"min":0,"sec":0,"mili":651};LatLng(55.879211, -4.294195);Point(176, 94);null;null;null
mousemove;{"min":0,"sec":0,"mili":651};LatLng(55.87897, -4.29368);Point(182, 99);null;null;null
mousemove;{"min":0,"sec":0,"mili":651};LatLng(55.878826, -4.293337);Point(186, 102);null;null;null
mousemove;{"min":0,"sec":0,"mili":651};LatLng(55.878633, -4.292736);Point(193, 106);null;null;null
mousemove;{"min":0,"sec":0,"mili":651};LatLng(55.878489, -4.292307);Point(198, 109);null;null;null
mousemove;{"min":0,"sec":0,"mili":651};LatLng(55.878392, -4.291792);Point(204, 111);null;null;null
mousemove;{"min":0,"sec":0,"mili":651};LatLng(55.878296, -4.291449);Point(208, 113);null;null;null
mousemove;{"min":0,"sec":0,"mili":651};LatLng(55.878248, -4.291105);Point(212, 114);null;null;null
mousemove;{"min":0,"sec":0,"mili":651};LatLng(55.878248, -4.290762);Point(216, 114);null;null;null
mousemove;{"min":0,"sec":0,"mili":651};LatLng(55.878152, -4.290504);Point(219, 116);null;null;null
mousemove;{"min":0,"sec":0,"mili":651};LatLng(55.878152, -4.290333);Point(221, 116);null;null;null
mousemove;{"min":0,"sec":0,"mili":651};LatLng(55.878103, -4.290075);Point(224, 117);null;null;null
mousemove;{"min":0,"sec":0,"mili":651};LatLng(55.878103, -4.289989);Point(225, 117);null;null;null
mousemove;{"min":0,"sec":0,"mili":651};LatLng(55.878103, -4.289904);Point(226, 117);null;null;null
mousemove;{"min":0,"sec":0,"mili":761};LatLng(55.878103, -4.289732);Point(228, 117);null;null;null
mousemove;{"min":0,"sec":0,"mili":761};LatLng(55.878103, -4.289646);Point(229, 117);null;null;null
mousemove;{"min":0,"sec":0,"mili":761};LatLng(55.878103, -4.28956);Point(230, 117);null;null;null
mousemove;{"min":0,"sec":0,"mili":761};LatLng(55.878103, -4.28956);Point(230, 117);null;null;null
mousemove;{"min":0,"sec":0,"mili":761};LatLng(55.878103, -4.289474);Point(231, 117);null;null;null
mousemove;{"min":0,"sec":0,"mili":761};LatLng(55.878103, -4.289389);Point(232, 117);null;null;null
mousemove;{"min":0,"sec":0,"mili":761};LatLng(55.878103, -4.289389);Point(232, 117);null;null;null
mousemove;{"min":0,"sec":0,"mili":761};LatLng(55.878103, -4.289389);Point(232, 117);null;null;null
mousemove;{"min":0,"sec":0,"mili":761};LatLng(55.878055, -4.289303);Point(233, 118);null;null;null
mousemove;{"min":0,"sec":0,"mili":761};LatLng(55.878055, -4.289303);Point(233, 118);null;null;null
mousemove;{"min":0,"sec":0,"mili":871};LatLng(55.877959, -4.289303);Point(233, 120);null;null;null
mousemove;{"min":0,"sec":0,"mili":871};LatLng(55.877911, -4.289217);Point(234, 121);null;null;null
mousemove;{"min":0,"sec":0,"mili":871};LatLng(55.877815, -4.289131);Point(235, 123);null;null;null
mousemove;{"min":0,"sec":0,"mili":871};LatLng(55.877718, -4.289045);Point(236, 125);null;null;null
mousemove;{"min":0,"sec":0,"mili":871};LatLng(55.877622, -4.288874);Point(238, 127);null;null;null
mousemove;{"min":0,"sec":0,"mili":871};LatLng(55.877526, -4.288788);Point(239, 129);null;null;null
mousemove;{"min":0,"sec":0,"mili":871};LatLng(55.877429, -4.288702);Point(240, 131);null;null;null
mousemove;{"min":0,"sec":0,"mili":871};LatLng(55.877285, -4.28853);Point(242, 134);null;null;null
mousemove;{"min":0,"sec":0,"mili":871};LatLng(55.877141, -4.288359);Point(244, 137);null;null;null
mousemove;{"min":0,"sec":0,"mili":871};LatLng(55.877044, -4.288273);Point(245, 139);null;null;null
mousemove;{"min":0,"sec":0,"mili":871};LatLng(55.876948, -4.288015);Point(248, 141);null;null;null
mousemove;{"min":0,"sec":0,"mili":871};LatLng(55.876852, -4.287844);Point(250, 143);null;null;null
mousemove;{"min":0,"sec":0,"mili":871};LatLng(55.876707, -4.287586);Point(253, 146);null;null;null
mousemove;{"min":0,"sec":0,"mili":982};LatLng(55.876563, -4.287243);Point(257, 149);null;null;null
mousemove;{"min":0,"sec":0,"mili":982};LatLng(55.876466, -4.287071);Point(259, 151);null;null;null
mousemove;{"min":0,"sec":0,"mili":982};LatLng(55.87637, -4.286814);Point(262, 153);null;null;null
mousemove;{"min":0,"sec":0,"mili":982};LatLng(55.876274, -4.286556);Point(265, 155);null;null;null
mousemove;{"min":0,"sec":0,"mili":982};LatLng(55.876226, -4.286385);Point(267, 156);null;null;null
mousemove;{"min":0,"sec":0,"mili":982};LatLng(55.876178, -4.286213);Point(269, 157);null;null;null
mousemove;{"min":0,"sec":0,"mili":982};LatLng(55.876129, -4.286041);Point(271, 158);null;null;null
mousemove;{"min":0,"sec":0,"mili":982};LatLng(55.876129, -4.28587);Point(273, 158);null;null;null
mousemove;{"min":0,"sec":0,"mili":982};LatLng(55.876081, -4.285612);Point(276, 159);null;null;null
mousemove;{"min":0,"sec":0,"mili":982};LatLng(55.876081, -4.28544);Point(278, 159);null;null;null
mousemove;{"min":0,"sec":0,"mili":982};LatLng(55.876033, -4.285269);Point(280, 160);null;null;null
mousemove;{"min":0,"sec":0,"mili":982};LatLng(55.876033, -4.285097);Point(282, 160);null;null;null
mousemove;{"min":0,"sec":0,"mili":982};LatLng(55.876033, -4.284925);Point(284, 160);null;null;null
mousemove;{"min":0,"sec":1,"mili":91};LatLng(55.876033, -4.284754);Point(286, 160);null;null;null
mousemove;{"min":0,"sec":1,"mili":91};LatLng(55.876033, -4.284582);Point(288, 160);null;null;null
mousemove;{"min":0,"sec":1,"mili":91};LatLng(55.876033, -4.284325);Point(291, 160);null;null;null
mousemove;{"min":0,"sec":1,"mili":91};LatLng(55.876033, -4.284239);Point(292, 160);null;null;null
mousemove;{"min":0,"sec":1,"mili":91};LatLng(55.876033, -4.284067);Point(294, 160);null;null;null
mousemove;{"min":0,"sec":1,"mili":91};LatLng(55.876033, -4.283981);Point(295, 160);null;null;null
mousemove;{"min":0,"sec":1,"mili":91};LatLng(55.876033, -4.283895);Point(296, 160);null;null;null
mousemove;{"min":0,"sec":1,"mili":91};LatLng(55.876081, -4.283724);Point(298, 159);null;null;null
mousemove;{"min":0,"sec":1,"mili":91};LatLng(55.876081, -4.283724);Point(298, 159);null;null;null
mousemove;{"min":0,"sec":1,"mili":91};LatLng(55.876129, -4.283638);Point(299, 158);null;null;null
mousemove;{"min":0,"sec":1,"mili":91};LatLng(55.876129, -4.283552);Point(300, 158);null;null;null
mousemove;{"min":0,"sec":1,"mili":91};LatLng(55.876178, -4.283552);Point(300, 157);null;null;null
mousemove;{"min":0,"sec":1,"mili":91};LatLng(55.876226, -4.283466);Point(301, 156);null;null;null
mousemove;{"min":0,"sec":1,"mili":200};LatLng(55.876274, -4.283381);Point(302, 155);null;null;null
mousemove;{"min":0,"sec":1,"mili":200};LatLng(55.876274, -4.283381);Point(302, 155);null;null;null
mousemove;{"min":0,"sec":1,"mili":200};LatLng(55.876322, -4.283295);Point(303, 154);null;null;null
mousemove;{"min":0,"sec":1,"mili":200};LatLng(55.87637, -4.283295);Point(303, 153);null;null;null
mousemove;{"min":0,"sec":1,"mili":200};LatLng(55.876418, -4.283209);Point(304, 152);null;null;null
mousemove;{"min":0,"sec":1,"mili":200};LatLng(55.876418, -4.283209);Point(304, 152);null;null;null
mousemove;{"min":0,"sec":1,"mili":200};LatLng(55.876466, -4.283209);Point(304, 151);null;null;null
mousemove;{"min":0,"sec":1,"mili":200};LatLng(55.876466, -4.283209);Point(304, 151);null;null;null
mousemove;{"min":0,"sec":1,"mili":309};LatLng(55.876418, -4.283123);Point(305, 152);null;null;null
mousemove;{"min":0,"sec":1,"mili":309};LatLng(55.876274, -4.282951);Point(307, 155);null;null;null
mousemove;{"min":0,"sec":1,"mili":309};LatLng(55.876274, -4.282866);Point(308, 155);null;null;null
mousemove;{"min":0,"sec":1,"mili":309};LatLng(55.876226, -4.28278);Point(309, 156);null;null;null
mousemove;{"min":0,"sec":1,"mili":422};LatLng(55.876129, -4.282608);Point(311, 158);null;null;null
mousemove;{"min":0,"sec":1,"mili":422};LatLng(55.876129, -4.282522);Point(312, 158);null;null;null
mousemove;{"min":0,"sec":1,"mili":422};LatLng(55.876081, -4.282351);Point(314, 159);null;null;null
mousemove;{"min":0,"sec":1,"mili":422};LatLng(55.876081, -4.282265);Point(315, 159);null;null;null
mousemove;{"min":0,"sec":1,"mili":422};LatLng(55.876081, -4.282265);Point(315, 159);null;null;null
mousemove;{"min":0,"sec":1,"mili":422};LatLng(55.876081, -4.282179);Point(316, 159);null;null;null
mousemove;{"min":0,"sec":1,"mili":422};LatLng(55.876081, -4.282179);Point(316, 159);null;null;null
mousemove;{"min":0,"sec":1,"mili":422};LatLng(55.876081, -4.282093);Point(317, 159);null;null;null
mousemove;{"min":0,"sec":1,"mili":422};LatLng(55.876081, -4.282093);Point(317, 159);null;null;null
mousemove;{"min":0,"sec":1,"mili":527};LatLng(55.876081, -4.282007);Point(318, 159);null;null;null
mousemove;{"min":0,"sec":1,"mili":527};LatLng(55.876081, -4.281921);Point(319, 159);null;null;null
mousemove;{"min":0,"sec":1,"mili":527};LatLng(55.876081, -4.281921);Point(319, 159);null;null;null
mousemove;{"min":0,"sec":1,"mili":527};LatLng(55.876081, -4.281836);Point(320, 159);null;null;null
mousemove;{"min":0,"sec":1,"mili":527};LatLng(55.876081, -4.281836);Point(320, 159);null;null;null
mousemove;{"min":0,"sec":1,"mili":527};LatLng(55.876081, -4.28175);Point(321, 159);null;null;null
mousemove;{"min":0,"sec":1,"mili":527};LatLng(55.876081, -4.28175);Point(321, 159);null;null;null
mousemove;{"min":0,"sec":1,"mili":527};LatLng(55.876081, -4.281664);Point(322, 159);null;null;null
mousemove;{"min":0,"sec":1,"mili":527};LatLng(55.876081, -4.281578);Point(323, 159);null;null;null
mousemove;{"min":0,"sec":1,"mili":527};LatLng(55.876081, -4.281578);Point(323, 159);null;null;null
mousemove;{"min":0,"sec":1,"mili":527};LatLng(55.876081, -4.281492);Point(324, 159);null;null;null
mousemove;{"min":0,"sec":1,"mili":636};LatLng(55.876081, -4.281492);Point(324, 159);null;null;null
mousemove;{"min":0,"sec":1,"mili":636};LatLng(55.876081, -4.281406);Point(325, 159);null;null;null
mousemove;{"min":0,"sec":1,"mili":636};LatLng(55.876081, -4.281406);Point(325, 159);null;null;null
mousemove;{"min":0,"sec":1,"mili":636};LatLng(55.876081, -4.281406);Point(325, 159);null;null;null
mousemove;{"min":0,"sec":1,"mili":636};LatLng(55.876081, -4.281321);Point(326, 159);null;null;null
mousemove;{"min":0,"sec":1,"mili":636};LatLng(55.876129, -4.281235);Point(327, 158);null;null;null
mousemove;{"min":0,"sec":1,"mili":636};LatLng(55.876178, -4.281149);Point(328, 157);null;null;null
mousemove;{"min":0,"sec":1,"mili":636};LatLng(55.876226, -4.281149);Point(328, 156);null;null;null
mousemove;{"min":0,"sec":1,"mili":636};LatLng(55.876226, -4.281149);Point(328, 156);null;null;null
mousemove;{"min":0,"sec":1,"mili":636};LatLng(55.876226, -4.281063);Point(329, 156);null;null;null
mousemove;{"min":0,"sec":1,"mili":636};LatLng(55.876274, -4.281063);Point(329, 155);null;null;null
mousemove;{"min":0,"sec":1,"mili":636};LatLng(55.876274, -4.281063);Point(329, 155);null;null;null
mousemove;{"min":0,"sec":1,"mili":636};LatLng(55.876274, -4.281063);Point(329, 155);null;null;null
mousemove;{"min":0,"sec":1,"mili":744};LatLng(55.876322, -4.281063);Point(329, 154);null;null;null
mousemove;{"min":0,"sec":1,"mili":744};LatLng(55.876322, -4.281063);Point(329, 154);null;null;null
mousemove;{"min":0,"sec":1,"mili":854};LatLng(55.876322, -4.281063);Point(329, 154);null;null;null
mousemove;{"min":0,"sec":1,"mili":854};LatLng(55.876322, -4.281149);Point(328, 154);null;null;null
mousemove;{"min":0,"sec":1,"mili":854};LatLng(55.876322, -4.281149);Point(328, 154);null;null;null
mousemove;{"min":0,"sec":1,"mili":854};LatLng(55.87637, -4.281149);Point(328, 153);null;null;null
mousemove;{"min":0,"sec":1,"mili":854};LatLng(55.87637, -4.281235);Point(327, 153);null;null;null
mousemove;{"min":0,"sec":1,"mili":854};LatLng(55.87637, -4.281321);Point(326, 153);null;null;null
mousemove;{"min":0,"sec":1,"mili":854};LatLng(55.87637, -4.281406);Point(325, 153);null;null;null
mousemove;{"min":0,"sec":1,"mili":854};LatLng(55.87637, -4.281406);Point(325, 153);null;null;null
mousemove;{"min":0,"sec":1,"mili":854};LatLng(55.87637, -4.281492);Point(324, 153);null;null;null
mousemove;{"min":0,"sec":2,"mili":290};LatLng(55.87637, -4.281492);Point(324, 153);null;null;null
mousemove;{"min":0,"sec":2,"mili":290};LatLng(55.87637, -4.281578);Point(323, 153);null;null;null
mousemove;{"min":0,"sec":2,"mili":290};LatLng(55.87637, -4.28175);Point(321, 153);null;null;null
mousemove;{"min":0,"sec":2,"mili":290};LatLng(55.87637, -4.281836);Point(320, 153);null;null;null
mousemove;{"min":0,"sec":2,"mili":290};LatLng(55.87637, -4.281921);Point(319, 153);null;null;null
mousemove;{"min":0,"sec":2,"mili":290};LatLng(55.87637, -4.281921);Point(319, 153);null;null;null
mousemove;{"min":0,"sec":2,"mili":290};LatLng(55.87637, -4.282007);Point(318, 153);null;null;null
mousemove;{"min":0,"sec":2,"mili":290};LatLng(55.87637, -4.282093);Point(317, 153);null;null;null
mousemove;{"min":0,"sec":2,"mili":290};LatLng(55.87637, -4.282179);Point(316, 153);null;null;null
mousemove;{"min":0,"sec":2,"mili":290};LatLng(55.87637, -4.282265);Point(315, 153);null;null;null
mousemove;{"min":0,"sec":2,"mili":290};LatLng(55.87637, -4.282436);Point(313, 153);null;null;null
mousemove;{"min":0,"sec":2,"mili":290};LatLng(55.87637, -4.282608);Point(311, 153);null;null;null
mousemove;{"min":0,"sec":2,"mili":290};LatLng(55.87637, -4.28278);Point(309, 153);null;null;null
mousemove;{"min":0,"sec":2,"mili":400};LatLng(55.87637, -4.282951);Point(307, 153);null;null;null
mousemove;{"min":0,"sec":2,"mili":400};LatLng(55.87637, -4.283037);Point(306, 153);null;null;null
mousemove;{"min":0,"sec":2,"mili":400};LatLng(55.876322, -4.283209);Point(304, 154);null;null;null
mousemove;{"min":0,"sec":2,"mili":400};LatLng(55.876322, -4.283295);Point(303, 154);null;null;null
mousemove;{"min":0,"sec":2,"mili":400};LatLng(55.876322, -4.283552);Point(300, 154);null;null;null
mousemove;{"min":0,"sec":2,"mili":400};LatLng(55.876274, -4.283724);Point(298, 155);null;null;null
mousemove;{"min":0,"sec":2,"mili":400};LatLng(55.876226, -4.283895);Point(296, 156);null;null;null
mousemove;{"min":0,"sec":2,"mili":400};LatLng(55.876226, -4.284067);Point(294, 156);null;null;null
mousemove;{"min":0,"sec":2,"mili":400};LatLng(55.876178, -4.284239);Point(292, 157);null;null;null
mousemove;{"min":0,"sec":2,"mili":400};LatLng(55.876129, -4.28441);Point(290, 158);null;null;null
mousemove;{"min":0,"sec":2,"mili":400};LatLng(55.876081, -4.284582);Point(288, 159);null;null;null
mousemove;{"min":0,"sec":2,"mili":400};LatLng(55.876033, -4.284668);Point(287, 160);null;null;null
mousemove;{"min":0,"sec":2,"mili":400};LatLng(55.876033, -4.284754);Point(286, 160);null;null;null
mousemove;{"min":0,"sec":2,"mili":507};LatLng(55.875937, -4.284925);Point(284, 162);null;null;null
mousemove;{"min":0,"sec":2,"mili":507};LatLng(55.875937, -4.285011);Point(283, 162);null;null;null
mousemove;{"min":0,"sec":2,"mili":507};LatLng(55.875889, -4.285269);Point(280, 163);null;null;null
mousemove;{"min":0,"sec":2,"mili":507};LatLng(55.87584, -4.285355);Point(279, 164);null;null;null
mousemove;{"min":0,"sec":2,"mili":507};LatLng(55.875744, -4.28544);Point(278, 166);null;null;null
mousemove;{"min":0,"sec":2,"mili":507};LatLng(55.875744, -4.285612);Point(276, 166);null;null;null
mousemove;{"min":0,"sec":2,"mili":507};LatLng(55.875696, -4.285698);Point(275, 167);null;null;null
mousemove;{"min":0,"sec":2,"mili":507};LatLng(55.875696, -4.285784);Point(274, 167);null;null;null
mousemove;{"min":0,"sec":2,"mili":507};LatLng(55.875648, -4.285955);Point(272, 168);null;null;null
mousemove;{"min":0,"sec":2,"mili":507};LatLng(55.875552, -4.286041);Point(271, 170);null;null;null
mousemove;{"min":0,"sec":2,"mili":507};LatLng(55.875503, -4.286213);Point(269, 171);null;null;null
mousemove;{"min":0,"sec":2,"mili":507};LatLng(55.875359, -4.286385);Point(267, 174);null;null;null
mousemove;{"min":0,"sec":2,"mili":507};LatLng(55.875263, -4.286556);Point(265, 176);null;null;null
mousemove;{"min":0,"sec":2,"mili":617};LatLng(55.875166, -4.286642);Point(264, 178);null;null;null
mousemove;{"min":0,"sec":2,"mili":617};LatLng(55.87507, -4.286728);Point(263, 180);null;null;null
mousemove;{"min":0,"sec":2,"mili":617};LatLng(55.874974, -4.286814);Point(262, 182);null;null;null
mousemove;{"min":0,"sec":2,"mili":617};LatLng(55.874877, -4.2869);Point(261, 184);null;null;null
mousemove;{"min":0,"sec":2,"mili":617};LatLng(55.874781, -4.287071);Point(259, 186);null;null;null
mousemove;{"min":0,"sec":2,"mili":617};LatLng(55.874685, -4.287071);Point(259, 188);null;null;null
mousemove;{"min":0,"sec":2,"mili":617};LatLng(55.87454, -4.287157);Point(258, 191);null;null;null
mousemove;{"min":0,"sec":2,"mili":617};LatLng(55.874444, -4.287157);Point(258, 193);null;null;null
mousemove;{"min":0,"sec":2,"mili":617};LatLng(55.8743, -4.287243);Point(257, 196);null;null;null
mousemove;{"min":0,"sec":2,"mili":617};LatLng(55.874155, -4.287243);Point(257, 199);null;null;null
mousemove;{"min":0,"sec":2,"mili":617};LatLng(55.873963, -4.287243);Point(257, 203);null;null;null
mousemove;{"min":0,"sec":2,"mili":617};LatLng(55.873818, -4.287243);Point(257, 206);null;null;null
mousemove;{"min":0,"sec":2,"mili":617};LatLng(55.873674, -4.287243);Point(257, 209);null;null;null
mousemove;{"min":0,"sec":2,"mili":724};LatLng(55.873529, -4.287243);Point(257, 212);null;null;null
mousemove;{"min":0,"sec":2,"mili":724};LatLng(55.873385, -4.287243);Point(257, 215);null;null;null
mousemove;{"min":0,"sec":2,"mili":724};LatLng(55.873288, -4.287243);Point(257, 217);null;null;null
mousemove;{"min":0,"sec":2,"mili":724};LatLng(55.87324, -4.287243);Point(257, 218);null;null;null
mousemove;{"min":0,"sec":2,"mili":724};LatLng(55.873192, -4.287243);Point(257, 219);null;null;null
mousemove;{"min":0,"sec":2,"mili":724};LatLng(55.873144, -4.287243);Point(257, 220);null;null;null
mousemove;{"min":0,"sec":2,"mili":724};LatLng(55.873144, -4.287243);Point(257, 220);null;null;null
mousemove;{"min":0,"sec":2,"mili":724};LatLng(55.873096, -4.287243);Point(257, 221);null;null;null
mousemove;{"min":0,"sec":2,"mili":832};LatLng(55.873096, -4.287243);Point(257, 221);null;null;null
mousemove;{"min":0,"sec":3,"mili":48};LatLng(55.873096, -4.287329);Point(256, 221);null;null;null
mousemove;{"min":0,"sec":3,"mili":48};LatLng(55.873096, -4.287415);Point(255, 221);null;null;null
mousemove;{"min":0,"sec":3,"mili":48};LatLng(55.873048, -4.287415);Point(255, 222);null;null;null
mousemove;{"min":0,"sec":3,"mili":48};LatLng(55.872951, -4.287586);Point(253, 224);null;null;null
mousemove;{"min":0,"sec":3,"mili":48};LatLng(55.872951, -4.287672);Point(252, 224);null;null;null
mousemove;{"min":0,"sec":3,"mili":161};LatLng(55.873024, -4.287543);Point(250, 224);null;null;null
mousemove;{"min":0,"sec":3,"mili":266};LatLng(55.873, -4.287629);Point(248, 225);null;null;null
mousemove;{"min":0,"sec":3,"mili":266};LatLng(55.873, -4.287672);Point(247, 225);null;null;null
mousemove;{"min":0,"sec":3,"mili":266};LatLng(55.873, -4.287758);Point(245, 225);null;null;null
mousemove;{"min":0,"sec":3,"mili":266};LatLng(55.872975, -4.287844);Point(243, 226);null;null;null
mousemove;{"min":0,"sec":3,"mili":380};LatLng(55.872855, -4.288058);Point(238, 231);null;null;null
mousemove;{"min":0,"sec":3,"mili":380};LatLng(55.872807, -4.288058);Point(238, 233);null;null;null
mousemove;{"min":0,"sec":3,"mili":492};LatLng(55.872807, -4.288101);Point(237, 233);null;null;null
mousemove;{"min":0,"sec":3,"mili":492};LatLng(55.872783, -4.288101);Point(237, 234);null;null;null
mousemove;{"min":0,"sec":3,"mili":492};LatLng(55.872783, -4.288101);Point(237, 234);null;null;null
mousemove;{"min":0,"sec":3,"mili":492};LatLng(55.872759, -4.288101);Point(237, 235);null;null;null
mousemove;{"min":0,"sec":3,"mili":492};LatLng(55.872759, -4.288101);Point(237, 235);null;null;null
mousemove;{"min":0,"sec":3,"mili":492};LatLng(55.872735, -4.288101);Point(237, 236);null;null;null
mousemove;{"min":0,"sec":3,"mili":492};LatLng(55.872735, -4.288144);Point(236, 236);null;null;null
mousemove;{"min":0,"sec":3,"mili":492};LatLng(55.872735, -4.288144);Point(236, 236);null;null;null
mousemove;{"min":0,"sec":3,"mili":492};LatLng(55.872711, -4.288187);Point(235, 237);null;null;null
mousemove;{"min":0,"sec":3,"mili":492};LatLng(55.872687, -4.288187);Point(235, 238);null;null;null
mousemove;{"min":0,"sec":3,"mili":492};LatLng(55.872638, -4.288273);Point(233, 240);null;null;null
mousemove;{"min":0,"sec":3,"mili":492};LatLng(55.87259, -4.288316);Point(232, 242);null;null;null
mousemove;{"min":0,"sec":3,"mili":492};LatLng(55.872542, -4.288445);Point(229, 244);null;null;null
mousemove;{"min":0,"sec":3,"mili":596};LatLng(55.872494, -4.28853);Point(227, 246);null;null;null
mousemove;{"min":0,"sec":3,"mili":596};LatLng(55.872446, -4.288573);Point(226, 248);null;null;null
mousemove;{"min":0,"sec":3,"mili":596};LatLng(55.872374, -4.288659);Point(224, 251);null;null;null
mousemove;{"min":0,"sec":3,"mili":596};LatLng(55.872253, -4.288831);Point(220, 256);null;null;null
mousemove;{"min":0,"sec":3,"mili":596};LatLng(55.872157, -4.28896);Point(217, 260);null;null;null
mousemove;{"min":0,"sec":3,"mili":596};LatLng(55.872036, -4.289088);Point(214, 265);null;null;null
mousemove;{"min":0,"sec":3,"mili":596};LatLng(55.87194, -4.289217);Point(211, 269);null;null;null
mousemove;{"min":0,"sec":3,"mili":596};LatLng(55.871868, -4.289303);Point(209, 272);null;null;null
mousemove;{"min":0,"sec":3,"mili":596};LatLng(55.87182, -4.289389);Point(207, 274);null;null;null
mousemove;{"min":0,"sec":3,"mili":596};LatLng(55.871772, -4.289432);Point(206, 276);null;null;null
mousemove;{"min":0,"sec":3,"mili":596};LatLng(55.871723, -4.289474);Point(205, 278);null;null;null
mousemove;{"min":0,"sec":3,"mili":596};LatLng(55.871675, -4.289517);Point(204, 280);null;null;null
mousemove;{"min":0,"sec":3,"mili":596};LatLng(55.871651, -4.289603);Point(202, 281);null;null;null
mousemove;{"min":0,"sec":3,"mili":596};LatLng(55.871627, -4.289603);Point(202, 282);null;null;null
mousemove;{"min":0,"sec":3,"mili":710};LatLng(55.871627, -4.289646);Point(201, 282);null;null;null
mousemove;{"min":0,"sec":3,"mili":710};LatLng(55.871711, -4.289517);Point(201, 283);null;null;null
mousemove;{"min":0,"sec":3,"mili":821};LatLng(55.871711, -4.289453);Point(204, 283);null;null;null
mousemove;{"min":0,"sec":3,"mili":821};LatLng(55.871711, -4.28941);Point(206, 283);null;null;null
mousemove;{"min":0,"sec":4,"mili":43};LatLng(55.871832, -4.288938);Point(228, 273);null;null;null
mousemove;{"min":0,"sec":4,"mili":43};LatLng(55.871832, -4.288938);Point(228, 273);null;null;null
mousemove;{"min":0,"sec":4,"mili":43};LatLng(55.871832, -4.288917);Point(229, 273);null;null;null
mousemove;{"min":0,"sec":4,"mili":43};LatLng(55.871844, -4.288895);Point(230, 272);null;null;null
mousemove;{"min":0,"sec":4,"mili":153};LatLng(55.871844, -4.288874);Point(231, 272);null;null;null
mousemove;{"min":0,"sec":4,"mili":153};LatLng(55.871832, -4.288874);Point(231, 273);null;null;null
mousemove;{"min":0,"sec":4,"mili":153};LatLng(55.871832, -4.288874);Point(231, 273);null;null;null
mousemove;{"min":0,"sec":4,"mili":153};LatLng(55.871832, -4.288852);Point(232, 273);null;null;null
mousemove;{"min":0,"sec":4,"mili":153};LatLng(55.87182, -4.288831);Point(233, 274);null;null;null
mousemove;{"min":0,"sec":4,"mili":153};LatLng(55.87182, -4.288831);Point(233, 274);null;null;null
mousemove;{"min":0,"sec":4,"mili":153};LatLng(55.871796, -4.288788);Point(235, 276);null;null;null
mousemove;{"min":0,"sec":4,"mili":153};LatLng(55.871784, -4.288745);Point(237, 277);null;null;null
